team_id,name,player_id,firstname,lastname,birthdate
2045,Augsburg,38269,Albian,Ajeti,1997-02-26 00:00:00.000
2045,Augsburg,21793,Halil,Altintop,1982-12-08 00:00:00.000
2045,Augsburg,31496,Daniel,Baier,1984-05-18 00:00:00.000
2045,Augsburg,21823,Raul,Marcelo Bobadilla,NULL
2045,Augsburg,21829,Jan-Ingwer,Callsen-Bracker,1984-09-23 00:00:00.000
2045,Augsburg,30549,Caiuby,Francisco da Silva,1988-07-14 00:00:00.000
2045,Augsburg,31830,Ji,Dong-Won,1991-05-28 00:00:00.000
2045,Augsburg,19924,Alexander,Esswein,1990-03-25 00:00:00.000
2045,Augsburg,21612,Markus,Feulner,1982-02-12 00:00:00.000
2045,Augsburg,39869,Alfred,Finnbogason,1989-02-01 00:00:00.000
2045,Augsburg,39157,Raphael,Framberger,1995-09-06 00:00:00.000
2045,Augsburg,31502,Joannis,Gelios,1992-04-24 00:00:00.000
2045,Augsburg,37247,Jeffrey,Gouweleeuw,1991-07-10 00:00:00.000
2045,Augsburg,21986,Marwin,Hitz,1987-09-18 00:00:00.000
2045,Augsburg,30786,Koo,Ja-Cheol,1989-02-27 00:00:00.000
2045,Augsburg,31707,Christoph,Janker,1985-02-14 00:00:00.000
2045,Augsburg,34417,Dominik,Kohr,1994-01-31 00:00:00.000
2045,Augsburg,33456,Tim,Matavz,1989-01-13 00:00:00.000
2045,Augsburg,37200,Philipp,Max,1993-09-30 00:00:00.000
2045,Augsburg,21949,Jan,Moravek,1989-11-01 00:00:00.000
2045,Augsburg,33678,Daniel,Opare,1990-10-18 00:00:00.000
2045,Augsburg,39158,Tim,Rieder,1993-09-03 00:00:00.000
2045,Augsburg,39156,Marco,Schuster,1995-10-10 00:00:00.000
2045,Augsburg,33416,Konstantinos,Stafylidis,1993-12-02 00:00:00.000
2045,Augsburg,33494,Georg,Teigl,1991-02-09 00:00:00.000
2045,Augsburg,31520,Paul,Verhaegh,1983-09-01 00:00:00.000
714,Bayer Leverkusen,42787,Joel,Abu Hanna,1998-01-22 00:00:00.000
714,Bayer Leverkusen,38506,Charles,Aranguiz,1989-04-17 00:00:00.000
714,Bayer Leverkusen,31554,Julian,Baumgartlinger,1988-01-02 00:00:00.000
714,Bayer Leverkusen,31440,Karim,Bellarabi,1990-04-08 00:00:00.000
714,Bayer Leverkusen,21947,Lars,Bender,1989-04-27 00:00:00.000
714,Bayer Leverkusen,39897,Lukas,Boeder,1997-04-18 00:00:00.000
714,Bayer Leverkusen,38119,Julian,Brandt,1996-05-02 00:00:00.000
714,Bayer Leverkusen,36747,Hakan,Calhanoglu,1994-02-08 00:00:00.000
714,Bayer Leverkusen,30571,Danny,Vieira da Costa,NULL
714,Bayer Leverkusen,41494,Benjamin,Henrichs,1997-02-23 00:00:00.000
714,Bayer Leverkusen,23667,Javier,Hernandez,1988-06-01 00:00:00.000
714,Bayer Leverkusen,32991,Roberto,Hilbert,1984-10-16 00:00:00.000
714,Bayer Leverkusen,36997,Tin,Jedvaj,1995-09-28 00:00:00.000
714,Bayer Leverkusen,21981,Kevin,Kampl,1990-10-09 00:00:00.000
714,Bayer Leverkusen,34826,Robbie,Kruse,1988-10-05 00:00:00.000
714,Bayer Leverkusen,31661,Bernd,Leno,1992-03-04 00:00:00.000
714,Bayer Leverkusen,33038,Admir,Mehmedi,1991-03-16 00:00:00.000
714,Bayer Leverkusen,22038,Ramazan,Özcan,NULL
